id,name,Type,vf,sa_tot_m2cm3,pld,lcd,rho
apm1,100X_0DVB_1,HCP,0.450296147,1545.75,6.72,11.95,0.766
apm2,100X_0DVB_2,HCP,0.512257502,1997.21,6.85,14.64,0.71
apm3,100X_0DVB_3,HCP,0.469424055,1620.75,7.5,13.96,0.75
apm4,100X_0DVB_4,HCP,0.480227945,1726.27,6.78,10.26,0.746
apm5,100X_0DVB_5,HCP,0.498301248,1676.33,7.64,15.41,0.712
apm6,100X_10DVB_1,HCP,0.43696435,1500.24,6.39,10.9,0.756
apm7,100X_10DVB_2,HCP,0.457152413,1597.09,7.35,12.47,0.732
apm8,100X_10DVB_3,HCP,0.477509197,1631.43,10,15.92,0.708
apm9,100X_10DVB_4,HCP,0.465504695,1559.84,6.65,13.2,0.724
apm10,100X_10DVB_5,HCP,0.456418071,1685.53,5.06,11.81,0.74
apm11,100X_20DVB_1,HCP,0.420459198,1531.83,4.91,10.7,0.748
apm12,100X_20DVB_2,HCP,0.398885862,1407.22,4.57,8.86,0.773
apm13,100X_20DVB_3,HCP,0.375858433,1254.26,4.48,9.93,0.787
apm14,100X_20DVB_4,HCP,0.411693382,1443.98,6.44,10.75,0.754
apm15,100X_20DVB_5,HCP,0.380120906,1185.22,3.59,10.48,0.788
apm16,100X_30DVB_1,HCP,0.413322464,1517.57,5.3,10.44,0.726
apm17,100X_30DVB_2,HCP,0.379878398,1226.37,4.52,10.45,0.764
apm18,100X_30DVB_3,HCP,0.307597724,848.91,3.8,8.61,0.83
apm19,100X_30DVB_4,HCP,0.358533053,1127.11,5.15,10.29,0.781
apm20,100X_30DVB_5,HCP,0.33914312,1049.69,3.91,9.44,0.802
apm21,100X_40DVB_1,HCP,0.286654604,748.13,3,8.76,0.826
apm22,100X_40DVB_2,HCP,0.274468702,659.53,2.69,8.44,0.83
apm23,100X_40DVB_3,HCP,0.239428719,462.91,2.88,6.65,0.861
apm24,100X_40DVB_4,HCP,0.298439276,859.73,3.08,8.21,0.81
apm25,100X_40DVB_5,HCP,0.324773949,1015.83,4.73,10.49,0.783
apm26,100X_50DVB_1,HCP,0.251791243,563.86,2.88,6.95,0.825
apm27,100X_50DVB_2,HCP,0.261176767,720.31,3.22,6.89,0.822
apm28,100X_50DVB_3,HCP,0.219848597,359.66,3.12,6.66,0.849
apm29,100X_50DVB_4,HCP,0.210992442,381.74,2.8,7.09,0.859
apm30,100X_50DVB_5,HCP,0.230936279,460.68,2.49,6.64,0.845
apm31,25X_0DVB_1,HCP,0.072522402,24.02,1.67,4.71,1.027
apm32,25X_0DVB_2,HCP,0.077648777,34.35,1.94,4.91,1.015
apm33,25X_0DVB_3,HCP,0.079523873,34.19,1.66,4.71,1.015
apm34,25X_0DVB_4,HCP,0.112378591,84.37,2.22,5.12,0.984
apm35,25X_0DVB_5,HCP,0.118843048,146.28,2.16,7.73,0.971
apm36,50X_0DVB_1,HCP,0.227193844,429.04,3.15,6.74,0.924
apm37,50X_0DVB_2,HCP,0.274583497,629.55,3.24,9.79,0.878
apm38,50X_0DVB_3,HCP,0.273199848,711.74,3.45,8.14,0.876
apm39,50X_0DVB_4,HCP,0.214673285,423.96,2.37,7.74,0.929
apm40,50X_0DVB_5,HCP,0.255011384,637.32,3.93,8.56,0.891
apm41,75X_0DVB_1,HCP,0.381688316,1137.61,3.44,11.48,0.81
apm42,75X_0DVB_2,HCP,0.423584077,1541.4,5.12,9.39,0.773
apm43,75X_0DVB_3,HCP,0.370616458,1113.71,5.15,10.82,0.822
apm44,75X_0DVB_4,HCP,0.377333057,1182.12,4.39,9.38,0.82
apm45,75X_0DVB_5,HCP,0.390628688,1257.61,4.6,10.42,0.797
apm46,aCarbon-Bhatia-id001,AC,0.76,1485.696,7.94,10.39,0.876
apm47,aCarbon-Bhatia-id002,AC,0.76,1397.019,6.81,12.52,0.951
apm48,aCarbon-Bhatia-id003,AC,0.64,1060.851,11.5,15.23,1.023
apm49,aCarbon-Marks-id001,AC,0.6,544.863,1.92,6.63,1.501
apm50,aCarbon-Marks-id002,AC,0.33,117.078,2.32,5.28,1.501
apm51,aCarbon-Marks-id003,AC,0.97,1223.5,15.87,33.2,0.5
apm52,aCarbon-Marks-id004,AC,0.95,1341.6,12.53,27.42,0.6
apm53,aCarbon-Marks-id005,AC,0.94,1423.1,8.24,20.79,0.7
apm54,aCarbon-Marks-id006,AC,0.92,1472,8.91,17.83,0.8
apm55,aCarbon-Marks-id007,AC,0.9,1432.8,6.88,20.62,0.9
apm56,aCarbon-Marks-id008,AC,0.88,1363,5.08,14.73,1
apm57,aCarbon-Marks-id009,AC,0.84,1254,4.92,13.88,1.1
apm58,aCarbon-Marks-id010,AC,0.99,1182.96,17.07,36.17,0.496
